##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.truncated.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	146508
Sequences flagged as poor quality	0
Sequence length	30-101
%GC	40
>>END_MODULE
1104	76-77	0.6017547250198731
1104	78-79	0.724473055234995
1104	80-81	0.9235905265547188
1104	82-83	1.536512701084149
1104	84-85	1.2551028122023524
1104	86-87	1.3544927055048177
1104	88-89	1.7952199013576688
1104	90-91	1.8632964550069957
1104	92-93	1.8655530580530666
1104	94-95	2.0624291351922963
1104	96-97	1.710383505383497
1104	98-99	1.9962837454942672
1104	100-101	1.2102325890483883
1105	1	0.6253050225306467
1105	2	0.6518391222874627
1105	3	0.44558139891407933
1105	4	0.2754806453366996
1105	5	0.466846063840066
1105	6	0.46328168946379833
1105	7	0.30588871443001864
1105	8	0.40420926722575246
1105	9	0.378579837803656
1105	10-11	0.3539814955199603
1105	12-13	0.2787076783551683
1105	14-15	0.5818089288838593
1105	16-17	0.7666778038398263
1105	18-19	0.6032081978098276
1105	20-21	0.36975768035090795
1105	22-23	0.4823106177690164
1105	24-25	0.22766152752431879
1105	26-27	0.3851291617611068
1105	28-29	0.3349813492486362
1105	30-31	-0.10773539372550545
1105	32-33	0.1475649027694388
1105	34-35	-0.16829386302671878
1105	36-37	0.08955628732317678
1105	38-39	-0.7895649301905365
1105	40-41	0.006190350514827969
1105	42-43	0.47053522734822906
1105	44-45	1.4142255621065374
1105	46-47	1.667654917387324
1105	48-49	1.7426140905595062
1105	50-51	2.0264464302009273
1105	52-53	1.2769918536221923
1105	54-55	1.1562526233459067
1105	56-57	2.0484145615467213
